,영화명,평점
329,굿바이 보이,8.08
330,속 대부,0
331,피크닉,0.00
332,하얀 정글,8.55
333,창피해,6.23
334,남과 여,0
335,"굿바이, 평양",0
336,시간을 달리는 소녀,7.62
337,오싱,0
338,내일의 죠,6.95
339,삼손과 데릴라,0
340,바람과 함께 사라지다,0
341,러브 액츄얼리,5.33
342,감자,0.00
343,REC 알이씨,8.14
344,성춘향,0
345,엘 시크레토 : 비밀의 눈동자,0
346,마음의 행로,0
347,존 레논 비긴즈-노웨어 보이,0
348,검은 수선화,0
349,사랑하는 사람아,0
350,두 여인,7.26
351,챔프,8.40
352,여로,0.00
353,김약국의 딸들,0
354,다슬이,8.50
355,태양은 가득히,0
356,셰인,0.00
357,안소니퀸의 길,0
358,맨발의 청춘,0
359,모정,0.00
360,아리랑,8.33
361,기적,8.72
362,왕과 나,0.00
363,바빌론의 아들,0
364,두만강,0
365,고교얄개,0
366,징기스칸,0
367,오래된 인력거,8.97
368,유투 3D,0
369,푸치니의 여인,0
370,베라크루스,0
371,세나: F1의 신화,9.24
372,이 생명 다하도록,0
373,플라워즈,8.50
374,내가 버린 남자,0
375,연산군,0
376,용형호제,0
377,스파이 넥스트 도어,6.97
378,도약선생,6.84
379,하이 눈,0
380,오슬로의 이상한 밤,0
