,영화명,영화명(영문),제작연도,제작국가,유형,장르,제작상태,감독,제작사,평점,배우
15158,귀 鬼(부르는 손 편),,2010,한국,단편,"공포(호러),스릴러",기타,조은경,,0.0,
15159,슈퍼  배드,Despicable Me,2010,미국,장편,"애니메이션,가족",개봉,"피에르 꼬팽,크리스 리노드",일루미네이션 엔터테인먼트,9.0,스티브 카렐|태연|서현|미란다 코스그로브|다나 가이어|
15160,원피스 극장판 Z,One Piece Film Z,2012,일본,장편,애니메이션,개봉,나가미네 타츠야,,9.03,타나카 마유미|나카이 카즈야|오카무라 아케미|시노하라 료코|카가와 테루유키|
15161,오블리비언,Oblivion,2013,미국,장편,"액션,SF",개봉,조셉 코신스키,,8.26,톰 크루즈|모건 프리먼|올가 쿠릴렌코|
15162,디테일스,The Details,2011,미국,장편,코미디,개봉,제이콥 아론 이스터스,,7.79,엘리자베스 뱅크스|토비 맥과이어|
15163,터치미,Error In Judgement,1998,미국,장편,스릴러,개봉,스콧 P. 레비,,0.0,조 맨테그나|조안나 파큘라|
15164,터미네이터 3,Terminator 3: The Rise of the Machines,2003,미국,장편,"SF,액션,범죄",개봉,조나단 모스토우,,7.26,아놀드 슈왈제네거|
15165,브로큰 시티,Broken City,2013,미국,장편,"범죄,액션",개봉,알렌 휴즈,,5.9,마크 월버그|러셀 크로우|캐서린 제타 존스|
15166,사샤,Sasha,2010,독일,장편,드라마,개봉,데니스 토도로빅,,7.6,사스하 케케즈|프레드랙 베랙|
15167,프레셔스,Precious,2009,미국,장편,드라마,개봉,리 다니엘스,,8.92,가보리 시디베|폴라 패튼|머라이어 캐리|레니 크라비츠|모니크|
15168,후세: 말하지 못한 내 사랑,FUSE-MEMOIRS OF THE HUNTER GILR,2012,일본,장편,"애니메이션,드라마",개봉,미야지 마사유키,,6.96,코토부키 미나코|미야노 마모루|코니시 카츠유키|
15169,컬러드 걸스,For colored girls,2010,미국,장편,드라마,개봉,타일러 페리,,8.09,자넷 잭슨|탠디 뉴튼|우피 골드버그|필리샤 라샤드|아니카 노니 로즈|로레타 드바인|킴벌리 엘리스|케리 워싱턴|
15170,룸,Room,2005,미국,장편,"드라마,미스터리",기타,카일 헨리,,6.98,케빈 베이컨|콜린 퍼스|알리슨 로먼|
15171,좋은 친구들,Good Friends,2012,한국,장편,액션,개봉,진형태,"주니파워픽처스(주),판타지웍스엔터",0.0,
15172,도망자,The Prey,2011,프랑스,장편,스릴러,개봉,에릭 바레트,,7.23,알베르 뒤퐁텔|앨리스 태그리오니|스테파네 드박|
15173,대재앙,METEOR APOCALYPSE,2010,미국,장편,어드벤처,개봉,미초 루타르,,3.91,조 랜도|클라우디아 크리스찬|
15174,늑대소녀,Wolf Girl,2005,일본,장편,드라마,기타,후카가와 요시히로,,0.0,오노 마오|스즈키 타츠야|
15175,노 맨스 랜드,No Man'S Land,2001,프랑스,장편,드라마,개봉,다니스 타노비치,카우니핸 빌리어스 프로덕션,8.34,브랑코 듀릭|르네 비토라작|필립 쇼바고비치|
15176,넥스트,Next,2007,미국,장편,"SF,스릴러,액션",개봉,리 타마호리,,7.4,니콜라스 케이지|줄리안 무어|제시카 비엘|
15177,꽃보다 남자,Boys Over Flowers,2008,일본,장편,멜로/로맨스,개봉,이시이 야스하루,,8.46,이노우에 마오|마츠모토 준|오구리 슌|마츠다 쇼타|아베 츠요시|
15178,클래쉬,Clash,2009,베트남,장편,액션,개봉,레 탄 선,,5.31,휴 히엔|자니 누엔|램 민 탱|호앙 푸크 뉴엔|베로니카 은고|
15179,스큐,SKEW,2011,캐나다,장편,"스릴러,공포(호러)",개봉,세베 쉘레쯔,,4.92,로버트 스캐터굿|엠버 루이스|
15180,킬링 소프틀리,Killing Them Softly,2012,미국,장편,"액션,스릴러,범죄",개봉,앤드류 도미닉,,6.4,브래드 피트|레이 리오타|리차드 젠킨스|제임스 갠돌피니|
15181,호프 스프링즈,Hope Springs,2012,미국,장편,"멜로/로맨스,코미디",개봉,데이빗 프랭클,,8.53,메릴 스트립|토미 리 존스|스티브 카렐|
15182,호스트,The Host,2013,미국,장편,"SF,판타지",개봉,앤드류 니콜,,7.39,시얼샤 로넌|맥스 아이언스|제이크 아벨|
15183,러브 송,Love Songs,2007,프랑스,장편,"드라마,뮤지컬,멜로/로맨스",개봉,크리스토프 오노레,알마 필름,8.08,루이 가렐|루디빈 사니에|클로틸드 헤스메|
15184,플레이백,PLAYBACK,2012,미국,장편,"스릴러,범죄",개봉,마이클 A. 니클즈,,4.16,조니 파카|엠바이어 칠더스|
15185,신혼 부부 러브 다이어리 4-러브 포에버,FUTARI H THE MOVIE LOVE FOREVER,2012,일본,장편,성인물(에로),개봉,요코야마 카즈히로,,0.0,모리시타 유리|토다 레이|
15186,세븐 빌로우,7 BELOW,2012,미국,장편,"스릴러,공포(호러)",개봉,케빈 카러웨이,,3.61,발 킬머|빙 라메스|루크 고스|
15187,50/50,,2011,미국,장편,"코미디,드라마",개봉,조나단 레빈,,8.36,조셉 고든 레빗|세스 로건|
15188,고해,A Tearful Story,2000,한국,장편,드라마,개봉,김정진,태인메가(주),0.0,
15189,신혼 부부 러브 다이어리 3-트리플 러브,FUTARI H THE MOVIE TRIPLE LOVE,2012,일본,장편,성인물(에로),개봉,요코야마 카즈히로,,7.0,모리시타 유리|키구치 아야|
15190,더 해머,THE HAMMER,2010,미국,장편,드라마,개봉,오렌 캐플란,,8.78,러셀 하바드|레이몬드 J. 배리|
15191,플라이페이퍼,FLY PAPER,2011,미국,장편,"범죄,코미디",개봉,롭 민코프,,6.98,패트릭 뎀시|애슐리 쥬드|
15192,도너 패스,Donner Pass,2012,미국,장편,공포(호러),개봉,엘리스 로버트슨,,4.14,데지레 홀|에릭 스톡클린|콜리 베일리|애드레이드 케인|
15193,코드,The Code,2009,"미국,독일",장편,"범죄,스릴러,액션",개봉,미미 레더,,8.15,톰 행크스|
15194,어머! 물고기가 됐어요,Help! Am A Fish,2000,덴마크,장편,"가족,어드벤처",개봉,마이클 헤그너,,9.35,세바스찬 예센|필 네하|모르텐 케른 닐슨|루이즈 프리보|
15195,어린 왕자,The Little Prince,2007,한국,장편,드라마,개봉,최종현,"(주)앤알커뮤니케이션,(주)피플앤픽쳐스",7.15,탁재훈|강수한|조안|
15196,악질경찰,Bad Lieutenant : Port of Call New Orleans,2009,미국,장편,"스릴러,액션,범죄",개봉,베르너 헤어조그,,6.67,니콜라스 케이지|발 킬머|에바 멘데스|
15197,아스테릭스 : 미션 클레오파트라,Asterix And Obelix Mission Cleopatre,2002,프랑스,장편,코미디,개봉,알랭 샤바,,6.23,제라르 드빠르디유|크리스티앙 클라비에|
15198,캐산,Casshern,2004,일본,장편,"액션,SF",개봉,키리야 카즈아키,,5.17,이세야 유스케|아소 구미코|
15199,아더와 미니모이-제1탄비밀원정대의출정,Arthur And The Invisibles,2006,프랑스,장편,"어드벤처,판타지",개봉,뤽 베송,유로파 Corp.,0.0,
15200,씬 시티,Sin City,2005,미국,장편,"범죄,스릴러,액션",개봉,"프랭크 밀러,쿠엔틴 타란티노",디멘션 필름즈,8.28,브루스 윌리스|미키 루크|제시카 알바|클라이브 오웬|닉 스탈|파워스 부스|룻거 하우어|일라이저 우드|로사리오 도슨|베니시오 델 토로|제이미 킹|데본 아오키|브리트니 머피|마이클 클락 던칸|칼라 구기노|알렉시스 브레델|조쉬 하트넷|
15201,서브머지드,Submerged,2005,미국,장편,"공포(호러),액션",개봉,안소니 히콕스,,5.31,스티븐 시걸|
15202,실종,Missing,2009,한국,장편,"범죄,스릴러,미스터리",개봉,김성홍,"활동사진,모션픽쳐",6.06,문성근|추자현|전세현|
15203,씨커,Ticker,2001,미국,장편,"범죄,액션",개봉,알버트 파이언,,3.77,스티븐 시걸|톰 시즈모어|데니스 호퍼|제이미 프레슬리|조 스파노|
15204,스피릿,Spirit : Stallion Of The Cimarron,2002,미국,장편,"애니메이션,가족,서부극(웨스턴)",개봉,"캘리 애스버리,로나 쿡",,9.23,맷 데이먼|제임스 크롬웰|다니엘 스터디|초퍼 버넷|
15205,스타트렉:네메시스,Star Trek: Nemesis,2002,미국,장편,"SF,드라마,범죄,액션,어드벤처",개봉,스튜어트 베이어드,,5.51,패트릭 스튜어트|조나단 플레이크|브렌트 스피너|레버 버튼|마이클 돈|게이츠 맥파든|마리나 설티스|론 펄먼|톰 하디|디나 메이어|주디 치코렐라|케이트 멀그루|
15206,스위니 토드 : 어느 잔혹한 이발사 이야기,Sweeney Todd : The Demon Barber Of Fleet Street,2007,미국,장편,"뮤지컬,범죄,스릴러",개봉,팀 버튼,,7.34,조니 뎁|헬레나 본햄 카터|
15207,춤추는 대수사선 2,Bayside Shakedown The Movie 2,2003,일본,장편,"액션,범죄,코미디",개봉,모토히로 카츠유키,,7.88,오다 유지|야나기바 토시로|후카츠 에리|미즈노 미키|유스케 산타마리아|기타무라 소이치로|오노 타케히코|이카리야 쵸스케|
15208,초한지: 영웅의 부활,The Last Supper,2012,중국,장편,"액션,사극",개봉,루 추안,,8.58,유엽|오언조|친란|장첸|
15209,필름 소셜리즘,Film Socialsm,2010,프랑스,장편,드라마,개봉,장 뤽 고다르,,6.93,캐서린 탄비에|크리스찬 시니걸|
15210,피치 퍼펙트,Pitch Perfect,2012,미국,장편,"코미디,멜로/로맨스",개봉,제이슨 무어,,7.86,브리타니 스노우|안나 켄드릭|레벨 윌슨|스카이라 애스틴|벤 플랫|안나 캠프|
15211,쇼킹 재팬: 색의 나라,Yoyochu in the Land of the Rising Sex,2010,"일본,북한",장편,"성인물(에로),다큐멘터리",개봉,이시오카 마사토,,7.8,아이조메 쿄코|후지모토 유카리|
15212,테라노바,TERRA NOVA,2008,러시아,장편,"액션,드라마,스릴러",개봉,알렉산드르 멜닉,,7.31,콘스탄틴 라브로넨코|마라 바샤로프|안드레이 페스코프|
15213,더 헌터,Romasanta: The Werewolf Hunt,2004,"스페인,영국",장편,"미스터리,스릴러",개봉,파코 플라자,,5.19,줄리안 샌즈|엘사 파타키|존 샤리언|
15214,프랑켄위니,Frankenweenie,2011,미국,장편,"애니메이션,코미디,공포(호러)",개봉,팀 버튼,,0.0,
15215,하나츠미-그녀의 꽃망울,PICKING UP FLOWERS,2011,일본,장편,성인물(에로),개봉,사토우 토시키,,0.0,
15216,후지코의 이중생활,LONGING HOUSEWIFE - DAYS OF YOUNG MAN,2009,일본,장편,성인물(에로),개봉,타지리 유지,,0.0,코우다 키리|마루 쥰코|
15217,슈가박스,Sugar Boxx,2009,미국,장편,"범죄,드라마",개봉,코디 자렛,,3.75,제네비르 앤더슨|델라 브라운|닉 엘디리지|
15218,모노거미,MONO GAMY,2010,미국,장편,"멜로/로맨스,드라마",개봉,다나 아담 샤피로,,7.33,크리스 메시나|라시다 존스|
15219,쓰리,Three,2010,독일,장편,"코미디,드라마,멜로/로맨스",개봉,톰 티크베어,,8.3,러셀 크로우|엘리자베스 뱅크스|
15220,블루,Three Colors: Blue,1993,"프랑스,폴란드",장편,드라마,기타,크지슈토프 키에슬로프스키,,8.38,줄리엣 비노쉬|베누아 레전트|플로렌스 퍼넬|샤롯 베리|헬렌 벤상|필립 볼터|클로드 뒤네톤|위그 케스테|
15221,사랑의 묘약,LELISIR DAMORE,2012,미국,장편,"공연,드라마,멜로/로맨스",개봉,바틀렛 쉐어,,7.25,염정아|배성우|
15222,소리아이,Lineage Of The Voice,2007,한국,장편,"다큐멘터리,드라마",개봉,백연아,프로덕션공방,0.0,
15223,불편한 진실,An Inconvenient Truth,2006,미국,장편,다큐멘터리,개봉,데이비드 구겐하임,,8.78,
15224,부드러운 살결,Yawarakaihada,1998,일본,장편,성인물(에로),개봉,사토 히사야스,,0.0,
15225,지옥,Hell,1994,프랑스,장편,"범죄,드라마",기타,끌로드 샤브롤,,7.0,엠마누엘 베아르|프랑수아 클루제|
15226,볼트,Bolt,2008,미국,장편,"애니메이션,코미디,어드벤처,가족",개봉,"바이론 하워드,크리스 윌리엄스",,9.04,존 트라볼타|마일리 사이러스|수지 에스먼|마크 월튼|
15227,드림팀,Les Seigneurs,2012,프랑스,장편,드라마,개봉,올리비에 다한,,7.97,오마 사이|호세 가르시아|
15228,조조-황제의 반란 감독판,THE ASSASSINS,2012,중국,장편,"전쟁,드라마",개봉,조림산,,6.55,주윤발|소유붕|타마키 히로시|유역비|
15229,마더 데레사,Mother Teresa Of Calcutta,2003,이탈리아,장편,드라마,개봉,파브리지오 코스타,,9.02,올리비아 핫세|
15230,토스카,Tosca,2001,"프랑스,독일,이탈리아,영국",장편,"뮤지컬,드라마",개봉,브누와 쟉꼬,,9.0,안젤라 게오르기|로베르토 알라냐|루제로 라이몬디|
15231,천국의 아이들 2 - 시험보는 날,Hayat,2005,이란,장편,드라마,개봉,골람 레자 라메자니,,7.76,메흐다드 하사니|가잘리 파스파|
15232,보일러룸,Boiler Room,2000,미국,장편,"범죄,스릴러",개봉,벤 영거,뉴라인 시네마,8.1,지오바니 리비시|빈 디젤|니아 롱|닉키 캣|스콧 칸|론 리프킨|
15233,별주부 해로,Turtle Hero,2001,한국,장편,"애니메이션,어드벤처,가족",개봉,김덕호,한신코퍼레이션(주),8.2,이미자|정미숙|
15234,별,Byul,2003,한국,장편,드라마,개봉,장형익,(주)스타후릇,8.24,유오성|박진희|
15235,베로니카,Dangerous Beauty,1998,미국,장편,멜로/로맨스,개봉,마샬 허스코비츠,,8.53,캐서린 맥코맥|루퍼스 스웰|올리버 플랫|
15236,버티컬 리미트,Vertical Limit,2000,미국,장편,"드라마,어드벤처",개봉,마틴 캠벨,,7.95,크리스 오도넬|빌 팩스톤|로빈 튜니|스콧 글렌|이자벨라 스코럽코|테무에라 모리슨|스튜어트 윌슨|니콜라스 레아|
15237,버그,Bug,2006,미국,장편,"공포(호러),스릴러",기타,윌리엄 프리드킨,,6.27,애슐리 쥬드|마이클 섀넌|
15238,아티스트,Artist,2000,한국,장편,"공포(호러),스릴러",개봉,설춘환,영화제작소 꿈의 공장,5.63,허윤정|김동하|최재진|
15239,밀레니엄 : 여자를 증오한 남자들,The Girl With The Dragon Tattoo,2011,"미국,스웨덴,영국,독일",장편,"스릴러,드라마",개봉,데이빗 핀처,,8.09,다니엘 크레이그|루니 마라|
15240,존 휴스턴 회고전-미스터 앨리슨,"Heaven Knows, Mr. Allison",1957,미국,장편,"액션,드라마,어드벤처",기타,존 휴스턴,,0.0,
15241,뮤즈,The Muse,1999,미국,장편,코미디,개봉,알버트 브룩스,,7.22,앨버트 브룩스|샤론 스톤|앤디 맥도웰|제프 브리지스|
15242,정,My Heart,1999,한국,장편,"드라마,멜로/로맨스",개봉,배창호,배창호프로덕션,9.55,김유미|김명곤|윤유선|
15243,무인지대,No Man's Zone,2011,"프랑스,일본",장편,드라마,기타,후지와라 토시,,0.0,
15244,전망 좋은 방-맛있는 섹스,,2012,한국,장편,"멜로/로맨스,드라마",개봉,이세일,(주)케이알씨지,4.5,이경민|강유키|
15245,전망 좋은 방-밀애,,2012,한국,장편,"멜로/로맨스,드라마",개봉,이숭환,(주)케이알씨지,2.0,백세리|이득진|조용복|
15246,몽골리안 핑퐁,Mongolian Ping Pong,2004,중국,장편,"코미디,드라마",개봉,닝 하오,,0.0,|다와|
15247,매뉴얼 오브 러브,Manuale D'Amore 2,2007,이탈리아,장편,"멜로/로맨스,코미디",개봉,지오바니 베로네시,,7.59,모니카 벨루치|리카르도 스카마르치오|
15248,글래디에이터: 로마 영웅 탄생의 비밀 3D,Gladiators of Rome,2013,이탈리아,장편,"애니메이션,액션,어드벤처",개봉,이기니오 스트라피,,5.18,로라 치아티|베렌 로드리게즈|엠마 테이트|루카 아르젠테로|
15249,임포스터,Impostor,2002,미국,장편,"SF,스릴러",개봉,게리 플레더,,0.0,
15250,레이,Ray,2004,미국,장편,드라마,개봉,테일러 핵포드,브리스톨베이프로덕션즈,9.05,제이미 폭스|
15251,럼 다이어리,The Rum Diary,2012,미국,장편,"코미디,멜로/로맨스",개봉,브루스 로빈슨,,0.0,
15252,익스트림 오피에스,Extreme OPS,2002,"영국,독일,룩셈부르크",장편,액션,개봉,크리스찬 두가이,,7.27,데본 사와|브리짓 윌슨|루퍼트 그레이브즈|루퍼스 스웰|
15253,장 르누아르 특별전-라 마르세예즈,The Marseillaise,1937,프랑스,장편,드라마,기타,장 르누아르,,0.0,
15254,들고양이,The Wildcat,1921,독일,장편,코미디,기타,에른스트 루비치,,0.0,폴라 네그리|
15255,오즈 그레이트 앤드 파워풀,Oz: The Great and Powerful,2012,미국,장편,"판타지,어드벤처,액션",개봉,샘 레이미,,0.0,
15256,라폴로니드 : 관용의집,House Of Tolerance,2011,프랑스,장편,드라마,개봉,베르트랑 보넬로,,7.08,합시아 헤지|노에미 르보브스키|아델 에넬|자스민 트린카|
15257,은하철도 999,Galaxy Express 999,1979,일본,장편,애니메이션,기타,린 타로,,9.19,노자와 마사코|이케다 마사코|아사가미 요코|
15258,더 데이,The Day,2011,한국,장편,다큐멘터리,개봉,백창주,(주)씨제스엔터테인먼트,9.07,로란트 도이취|장 르노|이자벨 까레|
15259,유주얼 서스펙트 2,The Contract,2000,미국,장편,"범죄,스릴러",개봉,스티븐 R. 몬로,,0.0,
15260,웜 바디스,Warm Bodies,2013,미국,장편,"멜로/로맨스,액션",개봉,조나단 레빈,,8.53,테레사 팔머|니콜라스 홀트|존 말코비치|
15261,린코의 유혹하는 미용실,PEEPED BEAUTICIAN - HEALING SALON,2008,일본,장편,성인물(에로),개봉,카타오카 슈지,,3.71,아카니시 료|히메노 리무|
15262,우리에게 내일은 없다,Boys Of Tomorrow,2006,한국,장편,드라마,개봉,노동석,청년필름(주),8.0,유아인|김병석|
15263,재회,REUNION,2011,일본,장편,멜로/로맨스,개봉,에노모토 토시로,,0.0,리리 쿠리바야시|츠다 아츠시|
15264,데스워리어,DEATH WARRIOR,2009,캐나다,장편,액션,개봉,빌 코코란,,6.0,헥터 에차바리아|타냐 클락|닉 맨쿠소|조르주 생-피에르|
15265,유레루,Sway,2006,일본,장편,드라마,개봉,니시카와 미와,,8.32,오다기리 죠|카가와 테루유키|
15266,포에버 스트롱,FOREVER STRONG,2008,미국,장편,드라마,개봉,라이언 리틀,,7.88,숀 패리스|닐 맥도프|게리 콜|펜 바드글리|
15267,메스카다,MESKADA,2010,미국,장편,"범죄,드라마,스릴러",개봉,조쉬 스턴펠드,,7.38,닉 스탈|레이첼 니콜스|켈란 루츠|조나단 터커|노만 리더스|
15268,월래스와 그로밋 : 거대토끼의 저주,Wallace & Gromit Movie: The Curse Of The Wererabbit,2005,영국,장편,"애니메이션,코미디,가족,어드벤처",개봉,"닉 파크,스티브 박스",드림웍스 SKG,8.42,피터 샐리스|랄프 파인즈|헬레나 본햄 카터|피터 케이|니콜라스 스미스|리즈 스미스|
15269,원스 어폰 어 타임 인 멕시코,Once Upon A Time In Mexico,2003,"미국,멕시코",장편,액션,개봉,로버트 로드리게즈,,7.18,안토니오 반데라스|셀마 헤이엑|조니 뎁|
15270,영웅 - 샐러멘더의 비밀,The Fifth Execution,2011,러시아,장편,액션,개봉,"알렉산드르 야킴추크,엘레나 코발레바",,0.0,
15271,수호지태극영웅-소이광,TRAGIC HERO,2008,중국,장편,"액션,드라마",개봉,황조권,,4.2,진호민|하중화|
15272,모스크바 히트,MOSCOW HEAT,2004,미국,장편,"스릴러,드라마,액션",개봉,제프 첼렌타노,,8.0,마이클 요크|알렉산더 네브스키|
15273,디 엔드: 인류 최후의 날,Fin,2012,스페인,장편,스릴러,개봉,조지 토레그로사,,3.92,클라라 라고|마리벨 베르두|다니엘 그라오|
15274,알렉스 크로스,Alex Cross,2012,미국,장편,"액션,스릴러",개봉,롭 코헨,,8.13,타일러 페리|매튜 폭스|레이첼 니콜스|
15275,링컨,Lincoln,2012,미국,장편,"드라마,전쟁",개봉,스티븐 스필버그,,7.84,다니엘 데이 루이스|조셉 고든 레빗|토미 리 존스|샐리 필드|
15276,엘리펀트 화이트,ELEPHANT WHITE,2011,미국,장편,"액션,스릴러",개봉,프라챠 핀카엡,,6.65,케빈 베이컨|디몬 하운수|지라타닌 피탁포른트라쿨|
15277,수호지 바람의 영웅 - 금모견,The Horse Whisperer,2012,중국,장편,"액션,드라마",개봉,황조권,,4.75,거문패|장욱|
15278,노다메 칸타빌레 Vol.1,Nodame Cantabile: The Movie I,2009,일본,장편,"코미디,드라마,뮤지컬",개봉,타케우치 히데키,시네 바자,8.43,우에노 주리|타마키 히로시|
15279,와일드,The Wild,2006,미국,장편,"애니메이션,코미디,어드벤처",개봉,스티브 스파즈 윌리엄스,월트 디즈니 픽쳐스,6.96,키퍼 서덜랜드|제임스 벨루시|에디 이자드|재닌 가로팔로|윌리암 샤트너|리차드 카인드|그렉 사이프스|
15280,내셔널 트레져:비밀의 책,National Treasure: The Book Of Secrets,2007,미국,장편,"액션,어드벤처",개봉,존 터틀타웁,"제리 브룩하이머 필름,월트 디즈니 픽쳐스",7.97,니콜라스 케이지|저스틴 바사|다이앤 크루거|존 보이트|헬렌 미렌|에드 해리스|
15281,S러버,Spread,2009,미국,장편,"코미디,드라마,멜로/로맨스",개봉,데이빗 맥킨지,,6.65,애쉬튼 커쳐|앤 헤이시|마가리타 레비에바|
15282,소노코의 유혹정사,WIFE NEXT DOOR,2007,일본,장편,성인물(에로),개봉,에노모토 토시로,,7.0,나다 쥰|코우다 키리|
15283,파라노이드 파크,Paranoid Park,2007,"프랑스,미국",장편,"범죄,드라마,미스터리",개봉,구스 반 산트,,7.85,게이브 네빈스|다니엘 루|
15284,장 르누아르 특별전-남부인,The Southerner,1945,미국,장편,드라마,기타,장 르누아르,,0.0,
15285,나이트폴,Night Fall,2012,"홍콩,중국",장편,"액션,스릴러,범죄",개봉,주현량,,8.08,장가휘|임달화|
15286,라스트 데이즈,Last Days,2005,미국,장편,드라마,개봉,구스 반 산트,HBO필름,6.96,마이클 피트|루카스 하스|
15287,마돈나 : 라이크 어 버진,Madonna : Like A Virgin,2013,미국,장편,다큐멘터리,개봉,메리 램버트,,7.79,<b>마돈나</b>|
15288,레이디 가가 : 온 더 엣지,Lady Gaga : On The Edge,2012,영국,장편,다큐멘터리,개봉,타라 퍼니아,,6.97,<b>레이디</b> <b>가가</b>|
15289,욕망의 코스프레,Cowards Who Looked to the Sky,2012,일본,장편,드라마,개봉,타나다 유키,,7.08,나가야마 켄토|타바타 토모코|
15290,금발이 너무해 2,"Legally Blonde 2: Red, White & Blonde",2003,미국,장편,코미디,개봉,찰스 허먼-움펠드,,6.34,리즈 위더스푼|
15291,흑사회 2,Election 2,2006,홍콩,장편,"드라마,범죄,액션",기타,두기봉,,7.54,고천락|임달화|
15292,흑사회,Election,2005,홍콩,장편,"드라마,액션",기타,두기봉,,7.66,양가휘|임달화|고천락|
15293,헨젤과 그레텔: 마녀 사냥꾼 3D,Hansel and Gretel: Witch Hunters,2012,"미국,영국",장편,"액션,코미디,판타지",개봉,토미 위르콜라,,0.0,
15294,잭애스 3D,Jackass 3D,2010,미국,장편,"코미디,액션",개봉,제프 트레마인,,7.42,조니 녹스빌|밤 말게라|스티브 오|제이슨 아쿠나|크리스 폰티어스|
15295,킬러 조,Killer Joe,2012,미국,장편,"범죄,스릴러",개봉,윌리엄 프리드킨,,0.0,
15296,데스티네이션,Final Destination,2000,미국,장편,"공포(호러),미스터리,스릴러",개봉,제임스 왕,뉴라인 시네마,8.28,데본 사와|알리 라터|커 스미스|
15297,법정스님의 의자,Empty Fullness,2011,한국,장편,다큐멘터리,개봉,임성구,"㈜포춘미디어,케이비에스미디어(주)",8.36,최불암|<b>법정</b>|
15298,카오스팩터,Chaos Factor,2000,미국,장편,"전쟁,액션,스릴러",개봉,테리 커닝햄,,0.0,안토니오 사바토 주니어|프레드 워드|
15299,생령,Shadow Of The Wraith,2001,일본,장편,공포(호러),개봉,이케다 토시하루,,4.79,미와 아스미|
15300,마지막 늑대,The Wolf Returns,2004,한국,장편,코미디,개봉,구자홍,제네시스픽쳐스(주),5.41,양동근|황정민|
15301,나는 갈매기,Flying Giants,2009,한국,장편,다큐멘터리,개봉,권상준,㈜드림빌엔터테인먼트,7.74,이대호|강민호|조성환|홍성흔|송승준|손민한|카림 가르시아|
15302,별빛 속으로,For Eternal Hearts,2007,한국,장편,"멜로/로맨스,판타지",개봉,황규덕,"씨네광장,(주)스폰지이엔티,스폰지",7.92,정경호|김규리|차수연|김C|
15303,니코,Niko & The Way To The Stars,2008,"핀란드,덴마크,독일,아일랜드",장편,"애니메이션,어드벤처,가족",개봉,"마이클 헤트너,캐리 주스넌",,8.02,한누-펙카 뵤르크만|부오코 호바타|올리 얀투넨|
15304,알이씨(Rec),Rec,2007,스페인,장편,공포(호러),개봉,"하우메 발라게로,파코 플라자",,7.13,마누엘라 벨라스코|
15305,폭력써클,Gangster High,2006,한국,장편,"액션,드라마",개봉,박기형,"(주)태원엔터테인먼트,(주)다다픽쳐스",7.19,정경호|이태성|장희진|
15306,아메리카파이: 19금 여배우들,HOLLYWOOD SEX WARS,2011,미국,장편,성인물(에로),개봉,폴 사피아노,,2.14,마리오 디아즈|저네이 알트슈와거|
15307,해적: 말라카해안의 위협,The Pirate Brothers,2011,인도네시아,장편,액션,개봉,아순 마와르디,,6.18,위룡|베르디 바완타|
15308,안나볼레나,Anna Bolena,2011,미국,장편,공연,개봉,데이비드 멕비카,,0.0,
15309,타에의 미망인정사,THE BEAUTIFUL WIDOW,2010,일본,장편,성인물(에로),개봉,이시카와 히토시,,1.0,모치즈키 카나|모치즈키 리오|
15310,톰하디의 도망자,Simon: An English Legionnaire,2002,영국,장편,"액션,전쟁",개봉,마틴 허버티,,6.44,폴 폭스|<b>톰</b> <b>하디</b>|
15311,더 콘서트,The Concert,2009,"프랑스,이탈리아,벨기에,루마니아",장편,"드라마,코미디",개봉,라두 미하일레아누,,8.5,알렉세이 구스코프|드미트리 나자로브|
15312,클라라,Clara,2008,독일,장편,드라마,개봉,헬마 잔더스-브람스,헬마샌더스브람스 필름,7.84,마르티나 게덱|파스칼 그레고리|맬릭 지디|
15313,세번째 시선,If You Were Me 3,2006,한국,옴니버스,드라마,개봉,"이미연,정윤철,홍기선,김선,김현필",국가인권위원회,8.31,차이얀 콜삭|황선화|김요한|김태우|전혜진|유성훈|김재민|정진영|유채목|
15314,별별 이야기,If You Were Me: Anima Vision,2005,한국,옴니버스,"애니메이션,드라마",개봉,"유진희,권오성,박윤경,이성강,이애림,김준,박재동,정연주",국가인권위원회,8.84,
15315,다섯 개의 시선,If You Were Me,2004,한국,옴니버스,다큐멘터리,개봉,"정지우,김동원,박경희,류승완,장진",국가인권위원회,0.0,
15316,페어리테일: 봉황의 무녀,Fairy Tail The Movie Phoenix Priestess,2012,일본,장편,"애니메이션,판타지",개봉,후지모리 마사야,,8.9,히라노 아야|카키하라 테츠야|
15317,잭 더 자이언트 킬러,JACK THE GIANT SLAYER,2013,미국,장편,"판타지,드라마,어드벤처",개봉,브라이언 싱어,,7.71,스탠리 투치|이완 맥그리거|빌 나이|니콜라스 홀트|엘리너 톰린슨|이안 맥쉐인|
15318,작은 연못,A Little Pond,2010,한국,장편,"드라마,전쟁",개봉,이상우,유한회사 제이필름,0.0,
15319,프로스트 VS 닉슨,Frost/Nixon,2008,미국,장편,드라마,개봉,론 하워드,이메이진엔터테인먼트,8.31,프랭크 란젤라|마이클 쉰|
15320,토끼와 거북이 패밀리가 떴다,unstable fables TORTOISE VS. HARE,2008,"미국,헝가리",장편,"애니메이션,어드벤처,가족",개봉,하워드 베이커,,4.44,드레이크 벨|대니 글로버|비비카 A. 폭스|
15321,가출소녀와 스토커,DAHILIA IN THE DUSK,2011,일본,장편,"성인물(에로),멜로/로맨스",개봉,이케다 치히로,,5.33,야나기 에리사|시부카와 키요히코|
