,영화명,평점
633,아파치,0.00
634,지상 최대의 작전,0
635,모퉁이 가게,0
636,마타하리,0
637,대원군,0
638,400번의 구타,0
639,흔들리는 물결,8.64
640,마포사는 황부자,0
641,미워도 다시 한번 '80,0
642,눈의 여왕 3: 눈과 불의 마법대결,8.56
643,카사블랑카,10.00
644,원한의 도곡리 다리,0
645,두 개의 연애,7.79
646,방 안의 코끼리,6.08
647,사랑의 전주곡,0
648,"사랑해, 파리",0
649,미라클 워커,0
650,협객 김두한,0
651,지상에서 영원으로,0
652,산하고인,7.36
653,비바 자파타,0
654,코리올라누스,0
655,아이들의 시간,8.59
656,나는 증인이다,7.03
657,언니는 말괄량이,0
658,하얀 까마귀,0
659,소셜포비아,0
660,어느 여대생의 고백,0
661,딜쿠샤,8.36
662,비치온더비치,7.20
663,미워도 다시 한번 2,0
664,파란 이별의 글씨,0
665,사랑은 부엉부엉,7.61
666,오페라의 유령 : 25주년 특별 공연,0
667,아마데우스 감독판,0
668,블랙가스펠2: 소울을 찾는 여정가운데 만난 사람들,9.10
669,청설,0
670,서부 개척사,0
671,백주의 결투,0
672,비애,0
673,사랑에 미치다,7.30
674,마담 버터플라이,0
675,마농 레스코,8.00
676,우리 생애 최고의 해,0
677,내가 버린 남자,0
678,쿼바디스,0
679,오텔로,5.80
680,내시,0
681,아 백범 김구선생,0
682,뜨거운 양철 지붕 위의 고양이,0
683,볼쇼이 바빌론,8.20
684,안개 낀 부두,0
685,극장판 푸른 강철의 아르페지오 -아르스 노바- 카덴차,9.07
686,모정에 우는 두 아들,0
687,얼굴도둑,0
688,폴링,8.00
689,빙점 '81,0
690,하숙집 2,7.36
691,녹터널 애니멀스,8.07
692,브로크백 마운틴,0
693,실록 김두한,0
694,코만체로스,0
695,다윗과 밧세바,0
696,리칭의 여선생,0
697,아프리카의 여왕,0
698,OK 목장의 결투,0
699,햄릿,0.00
700,우리친구 피들스틱스,0
701,닥터 지바고,0
702,깊고 푸른 밤,0
703,카바라의 밤,0
704,라푼젤,0
705,신체 강탈자의 침입,0
706,마탄의 사수,8.50
707,"쿠미코, 더 트레저 헌터",0
708,달기,0
709,"시발, 놈: 인류의 시작",6.58
710,공중 트라피스,0
711,길은 멀어도 마음만은,0
712,야근 대신 뜨개질,8.79
713,꼭대기 방,0
714,교수목,0
715,강화도령,0
716,미워도 다시 한번 3,0
717,경계,0.00
718,어떻게 헤어질까,6.50
719,포켓에 가득찬 행복,0
720,아나스타샤,0
721,아더왕의 전설,8.92
722,전우여 다시한번,0
723,원점,0
724,무영탑,0
725,사랑할 때와 죽을 때,0
726,해바라기,8.46
727,애꾸눈 잭,0
728,솔로몬과 시바의 여왕,0
729,하숙생,0
730,안데르센,0
731,엘머 갠트리,0
732,빅 컨츄리,0
733,호수의 이방인,0
734,초원의 빛,0
735,사랑의 스잔나,0
736,하타리,0
737,마션,8.43
738,로베르토 드브뢰,10.00
739,존 휴스턴 회고전-용서받지 못할 자,0
740,"가장 따뜻한 색, 블루",0
741,존 휴스턴 회고전-비트 더 데블,0
742,페이 더 고스트,6.11
743,JSA 남북공동초등학교,7.07
744,바이킹,3.41
745,폭풍의 언덕,0
746,카르멘,7.38
747,탄호이저,9.00
748,역마차,0
749,닥터 스트레인지러브,0
750,거미의 땅,0
751,짐작보다 따뜻하게,7.90
752,원탁의 기사,0
753,어느날 밤에 생긴 일,0
754,내일은 영원히,0
755,공주와 해적,0.00
756,암굴왕,0
757,사랑의 별장,0
758,여호,0
759,러브,8.22
760,"제1회 안양국제청소년영화제 단편, 짧지만 길고 깊은 이야기1",0
761,소녀와 여자,8.35
762,마담 보바리,0
763,하오의 연정,0
764,황태자의 첫사랑,0
765,진주 조개 잡이,8.00
766,맨발의 백작부인,0
767,앨리스: 원더랜드에서 온 소년,7.33
768,오션스 일레븐,0
769,이지머니 2,0
770,마지막 찻잔,0
771,그날이 오면,0
772,티파니에서 아침을,0.00
773,인 더 섀도우 오브 우먼,7.09
774,땡볕,0
775,비상착륙,0
776,존 웨인의 기병대,0
777,서울의 지붕 밑,0
778,엘 시드,0
779,데몬킹스,0
780,그리고 아무도 없었다,9.00
781,이조 여인잔혹사,0
782,사돈의 팔촌,7.88
783,나의 딸,8.64
784,내가 마지막 본 파리,0
785,황진이,4.10
786,탑 햇,0
787,헬머니,0
788,유아 어글리 투,7.36
789,7년만의 외출,0
790,월ㆍE,0
791,달에 부는 바람,0
792,피가로의 결혼,9.00
793,생사투,0
794,비소와 낡은 레이스,0
795,그린 맨션,0
796,수색자,0
797,태양은늙지않는다,0
798,연평해전,9.02
799,별아 내 가슴에,0
800,비긴 어게인,0
801,비리디아나,0
802,살로메,9.00
803,검은 난초,0
804,이태리식 결혼,0
805,나이아가라,5.00
806,밤은 돌아오지 않는다,0
807,자니 기타,0
808,성공의 달콤한 향기,0
809,헨젤과 그레텔,6.17
810,백야의 탈출,0
811,이중섭의 아내,0
812,"지금, 만나러 갑니다",0
813,젊은 사자들,0
814,뷰티 인사이드,7.79
815,그녀,8.04
816,보카치오 70,0
817,백경,5.68
818,몬테크리스토 백작,0
819,퍼스널 쇼퍼,6.93
820,울보,0.00
821,해녀,0
822,콰이강의 다리,0
823,죽음의 다섯 손가락,0
824,바운티 호의 반란,0
825,블라인드,0.00
826,메밀꽃 필 무렵,0
827,벽 속의 여자,0
828,로맨스 빠빠,0
829,다정불심,0
830,파우스트,10.00
831,꿈,8.56
832,왕초와 용가리,8.53
833,레미제라블,0.00
834,대황원,0
835,혼자,5.73
836,대결투,0
837,여인잔혹사 물레야 물레야,0
838,업,8.22
839,보이 앤 더 월드,0
840,미워도 다시 한번,0
841,카발레리아 루스티카나 & 팔리아치,7.00
842,지금은맞고그때는틀리다,6.45
843,회색 양복을 입은 사나이,0
844,당신이 떠난 후,0
845,베르나데트의 노래,0
846,목로주점,0
847,러브 앤 피스,7.27
848,제로 모티베이션,0
849,황혼,0.00
850,을화,0
851,겨울로 가는 마차,0
852,연인들,8.65
853,토스카,0
854,더 시크릿,8.57
855,눈이라도 내렸으면,9.14
856,대장 부리바,0
857,마지막 레슨,10.00
858,사도,7.63
859,극적인 하룻밤,6.59
860,철낭자,0
861,아름다운 추억,0
862,이것이 모든 것을 바꾼다,8.00
863,빅 트레일,0
864,안네의 일기,0.00
865,피닉스 라이트 사건,4.38
866,화이트 크리스마스,0
867,안나 카레니나,0
868,리오 브라보,0
869,소돔과 고모라,0
870,피스 오브 케이크,0.00
871,카모메 식당,0
872,백사부인,0
873,마음의 행로,0
874,피아니스트,0.00
875,쿵푸팬더 2,0
876,한여름의 판타지아,0
877,자랑과 정열,0
878,단지 세상의 끝,7.48
879,무림신공 : 황금봉의 전사,0
880,레옹,0
881,5인의 해병,0
882,레베카,0
883,보고싶다,8.79
884,마담 프루스트의 비밀정원,0
885,왕자 호동,0
886,실크 스타킹,0
887,탐욕의 별,8.33
888,너는 내 운명,0
889,홀리데이 인,0
890,애수,0
891,레드 리버,0
892,카르멘,7.38
893,나를 미치게 하는 여자,6.45
894,하비,0.00
895,독립협회와 청년 이승만,0
896,장희빈,0
897,마농,7.58
898,워킹 스트리트,5.04
899,"1789, 바스티유의 연인들",0
900,정오의 출격,0
901,이유없는 반항,0
902,휴가,6.25
903,암살,8.48
904,기적,9.16
905,자이언트,8.03
906,그랑블루 리마스터링 감독판,0
907,양귀비 : 왕조의 여인,5.07
908,위크엔드 인 파리,0
