순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사
116,런닝맨 : 풀룰루의 역습,2018-12-05,1420218750,0.001,186912,511,5521,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
117,극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이,2018-06-06,1394555400,0.001,183421,588,6839,일본,일본,(주)이수C&E
118,극장판 도라에몽: 진구의 보물섬,2018-08-15,1375508400,0.001,183220,463,5488,일본,일본,(주)이수C&E
119,원더,2017-12-27,1378217489,0.001,181938,183,7407,미국,미국,"CGV아트하우스,그린나래미디어(주)"
120,유전,2018-06-07,1564910938,0.001,177647,422,9327,미국,미국,(주)팝엔터테인먼트
121,더 프레데터,2018-09-12,1502022014,0.001,170878,582,17579,미국,미국,이십세기폭스코리아(주)
122,어느 가족,2018-07-26,1411660900,0.001,170743,126,5685,일본,일본,(주)티캐스트
123,극장판 포켓몬스터 모두의 이야기,2018-12-19,1314100400,0.001,169677,493,4484,일본,일본,(주)이수C&E
124,극장판 요괴워치 섀도사이드: 도깨비왕의 부활,2018-09-20,1205873200,0.001,157689,454,5398,일본,일본,(주)씨제이이엔엠
125,크레이지 리치 아시안,2018-10-25,1333313141,0.001,154297,531,12370,미국,미국,워너브러더스 코리아(주)
126,다운사이징,2018-01-11,1236582004,0.001,150215,511,8377,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
127,나를 기억해,2018-04-19,1230898892,0.001,141222,545,14322,한국,한국,(주)키다리이엔티
128,더 포스트,2018-02-28,1102464148,0.001,139389,281,6797,미국,미국,CGV아트하우스
129,빅샤크: 매직체인지,2018-06-27,1012461700,0.001,138740,414,4874,중국,중국,와이드 릴리즈(주)
130,독전: 익스텐디드 컷,2018-07-18,845770600,0,137871,398,5656,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
131,얼리맨,2018-05-03,939872000,0.001,122359,597,5347,영국,영국,(주)이수C&E
132,부탁 하나만 들어줘,2018-12-12,992810788,0.001,115024,461,8521,미국,미국,(주)팝엔터테인먼트
133,"안녕, 나의 소녀",2018-05-16,870407954,0,111751,155,6145,대만,대만,오드
134,당갈,2018-04-25,906597500,0,109465,260,5700,인도,인도,(주)넥스트엔터테인먼트월드(NEW)
135,할로윈,2018-10-31,891158713,0,108780,536,9836,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
136,레드 스패로,2018-02-28,860743700,0,108344,389,6659,미국,미국,이십세기폭스코리아(주)
137,레이디 버드,2018-04-04,828329700,0,101781,344,7258,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
138,게이트,2018-02-28,821271100,0,101381,208,5474,한국,한국,(주)제이앤씨미디어그룹
139,미니특공대X,2018-03-22,746262200,0,100164,458,5452,한국,한국,(주)삼지애니메이션
140,여중생A,2018-06-20,811686000,0,97849,479,10242,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
141,쓰리 빌보드,2018-03-15,800125700,0,97480,110,4013,미국,미국,이십세기폭스코리아(주)
142,마야2,2018-02-01,696489700,0,97165,429,4178,독일,독일,(주)영화사 빅
143,커다랗고 커다랗고 커다란 배,2018-05-03,747704900,0,95459,350,3440,덴마크,덴마크,예지림엔터테인먼트
144,플로리다 프로젝트,2018-03-07,794251100,0,94822,126,5226,미국,미국,오드
145,극장판 포켓몬스터 너로 정했다!,2017-12-21,696785800,0,94300,417,2653,일본,일본,(주)이수C&E
146,베일리 어게인,2018-11-22,796864900,0,93691,189,5777,미국,미국,(주)홈초이스
147,루이스,2018-09-20,729147750,0,93000,325,3547,독일,독일,(주)스마일이엔티
148,셜록 놈즈,2018-10-03,682265200,0,91036,440,3441,미국,미국,"(주)키다리이엔티,(주)삼백상회"
149,신은 죽지 않았다 3: 어둠 속의 빛,2018-07-19,668561400,0,86295,179,3393,미국,미국,"(주)영화사 그램,(재)CBS"
150,출국,2018-11-14,640943850,0,81880,274,4628,한국,한국,
151,호텔 아르테미스,2018-07-18,646127100,0,77794,465,7876,미국,미국,판씨네마(주)
152,올 더 머니,2018-02-01,568551500,0,70310,260,4336,미국,미국,판씨네마(주)
153,마일22,2018-08-23,600521900,0,69837,203,6212,미국,미국,(주)팝엔터테인먼트
154,여곡성,2018-11-08,594373400,0,67368,212,4463,한국,한국,(주)스마일이엔티
155,레오나르도 다 빈치,2018-04-26,511192200,0,64655,207,2621,이탈리아,이탈리아,(주)스마일이엔티
156,번개맨과 신비의 섬,2018-04-05,486548700,0,60561,191,2560,한국,한국,"힘컨텐츠(주),(주)디스테이션"
157,킬링 디어,2018-07-12,518464968,0,60008,68,2449,미국,"미국,영국",오드
158,타이타닉,1998-02-20,432315000,0,59455,107,2780,미국,미국,"씨네힐,이십세기폭스코리아(주)"
159,소공녀,2018-03-22,472636200,0,59110,284,5762,한국,한국,CGV아트하우스
160,어드리프트:우리가 함께한 바다,2018-09-06,482701918,0,59009,490,8219,미국,미국,(주)이수C&E
161,엘리엇과 산타 썰매단,2018-12-12,399032800,0,57579,335,2047,캐나다,캐나다,(주)팝엔터테인먼트
162,매직빈,2018-05-03,436382700,0,57004,534,3292,중국,중국,(주)영화사 빅
163,헌터 킬러,2018-12-06,464838450,0,56511,226,2777,미국,미국,(주)키다리이엔티
164,몬스터 패밀리,2017-12-21,410001000,0,56019,342,1547,독일,독일,(주)키다리이엔티
165,머니백,2018-04-12,417495600,0,53610,472,6878,한국,한국,(주)리틀빅픽쳐스
166,뽀로로 극장판 공룡섬 대모험,2017-12-07,379701700,0,53592,195,1722,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
167,말모이,2019-01-09,304507000,0,53576,108,252,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
168,"부르고뉴, 와인에서 찾은 인생",2018-05-03,466538900,0,53569,55,2351,프랑스,프랑스,(주)티캐스트
169,그래비티,2013-10-17,801074000,0,52504,52,2296,미국,미국,"(주)스튜디오디에이치엘,주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)"
170,너의 췌장을 먹고 싶어,2018-11-15,410303605,0,52355,319,3576,일본,일본,(주)넥스트엔터테인먼트월드(NEW)
171,번개맨의 비밀,2018-12-06,394126050,0,50863,309,2270,한국,한국,(주)디스테이션
172,젝스키스 에이틴,2018-01-18,364405500,0,50419,25,774,한국,한국,씨제이 씨지브이(CJ CGV)(주)
173,살인소설,2018-04-25,392591200,0,49682,434,5708,한국,한국,"(주)스톰픽쳐스코리아,(주)페퍼민트앤컴퍼니"
174,온리 더 브레이브,2018-03-07,390912300,0,49612,301,4434,미국,미국,㈜코리아스크린
175,폴란드로 간 아이들,2018-10-31,371846800,0,48462,181,2919,한국,한국,커넥트픽쳐스(주)
176,데자뷰,2018-05-30,360833100,0,48279,536,8117,한국,한국,(주)키다리이엔티
177,비밥바룰라,2018-01-24,322716200,0,47563,347,4055,한국,한국,(주)키다리이엔티
178,"스탠바이, 웬디",2018-05-30,374370080,0,47368,345,5129,미국,미국,판씨네마(주)
179,나츠메 우인장: 세상과 연을 맺다,2018-10-31,387190200,0,46913,110,2844,일본,일본,(주)애니플러스
180,에그엔젤 코코밍: 두근두근 핼러윈 파티,2018-09-22,367076000,0,46386,179,1800,일본,일본,(주)엠제이픽쳐스
181,타샤 튜더,2018-09-13,364604850,0,46032,38,2080,일본,일본,(주)마노엔터테인먼트
182,플로이,2018-08-15,334782300,0,44907,242,1790,아이슬란드,"아이슬란드,벨기에",(주)스마일이엔티
